Ecosistema,Ubicación,Pokémon,Tipo,Clima/Condición
Costa,San Blas,Wingull,Agua/Volador,Soleado
Costa,Bahía de Banderas,Pelipper,Agua/Volador,Soleado
Costa,Guayabitos,Magikarp,Agua,Cualquier clima
Manglar,La Tovara,Wooper,Agua/Tierra,Lluvioso
Manglar,Marismas Nacionales,Lotad,Agua/Planta,Lluvioso
Selva,Compostela,Caterpie,Bicho,Húmedo
Selva,Sierra de Vallejo,Oddish,Planta/Veneno,Húmedo
Montaña,La Yesca,Geodude,Roca/Tierra,Templado
Montaña,Del Nayar,Onix,Roca/Tierra,Templado
Agrícola,Santiago Ixcuintla,Tauros,Normal,Seco
Agrícola,Ruiz,Miltank,Normal,Seco
Urbano,Tepic,Rotom,Eléctrico/Fantasma,Nublado
Urbano,Tepic,Pikachu,Eléctrico,Parcialmente nublado
Urbano,Xalisco,Magnemite,Eléctrico/Acero,Nublado
